date,age,sex
2016_Apr_13_1009,22,Female
2016_Apr_13_1049,21,Female
2016_Mar_28_1020,22,Female
2016_Mar_28_1216,20,Female
2016_Mar_28_1243,25,Male
2016_Mar_28_1344,24,Female
2016_Mar_29_1007,28,Male
2016_Mar_29_1215,32,Male
2016_Mar_29_1241,20,Female
2016_Mar_29_1252,28,Male
2016_Mar_29_1307,26,Male
2016_Mar_29_1309,20,Female
2016_Mar_29_1317,19,Female
2016_Mar_29_1329,23,Female
2016_Mar_29_1343,20,Female
2016_Mar_29_1347,20,Female
2016_Mar_29_1413,27,Female
2016_Mar_29_1447,19,Female
2016_Mar_29_1629,20,Female
2016_Mar_29_1647,19,Female
2016_Mar_31_1002,22,Female
2016_Mar_31_1015,22,Female
2016_Mar_31_1027,20,Female
2016_Mar_31_1114,21,Female
2016_Mar_31_1121,25,Female
2016_Mar_31_1256,20,Female
2016_Mar_31_1404,21,Female
2016_Mar_31_1418,18,Male
2016_Mar_31_1446,32,Male
2016_May_09_1156,22,Female
2016_May_09_1217,30,Male
2016_May_09_1244,33,Male
2016_May_09_1334,24,Female
2016_May_09_1345,27,Male
2016_May_10_1003,22,Female
2016_May_10_1032,23,Male
2016_May_15_1142,21,Female
2016_May_15_1154,21,Female
2016_May_16_1004,24,Male
2016_May_16_1019,23,Female
2016_May_17_1008,19,Female
2016_May_17_1046,19,Female
2016_May_17_1201,20,Female
2016_May_17_1237,21,Female
2016_May_17_1249,21,Female
2016_May_17_1318,20,Female
2016_May_17_1446,22,Female
2016_May_17_1541,23,Male
2016_May_17_1547,24,Female
2016_May_17_1548,23,Female
2016_May_17_1601,,
2016_May_17_1604,,
2016_May_17_1608,,
2016_May_19_1021,21,Female
2016_May_19_1107,25,Female
2016_May_19_1113,19,Male
2016_May_19_1118,24,Female
2016_May_24_1001,19,Female
2016_May_24_1019,24,Female
2016_May_24_1046,,
2016_May_24_1326,20,Female
2016_May_24_1328,22,Female
2016_May_24_1336,23,Female
2016_May_24_1344,20,Female
2016_May_24_1357,22,Female
2016_May_24_1402,22,Female
2016_May_24_1404,,
2016_May_24_1421,,
2016_May_24_1428,27,Male
2016_May_24_1507,22,Male
2016_May_24_1517,25,Male
